# Construct											
#OTU ID	W1	F1	F2	W2	taxonomy						
Otu5042	0	0	0	0	Bacteria	 Firmicutes	 Erysipelotrichia	 Erysipelotrichales	 Erysipelotrichaceae	 Turicibacter	 Turicibacter_sanguinis
Otu5043	0	0	0	0	Bacteria	 Proteobacteria					
Otu5040	0	0	0	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales			
Otu5041	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales			
Otu1208	22	9	9	31	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacteraceae	 Anaeromyxobacter	 Anaeromyxobacter_dehalogenans
Otu1209	1	4	11	6	Bacteria	 Latescibacteria	 Unclassified	 Unclassified	 Unclassified	 Latescibacteria	
Otu1204	1	0	1	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp3	 Unclassified	 Unclassified	 Gp3	
Otu1205	0	2	5	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp4				
Otu1206	1	5	10	0	Bacteria	 Actinobacteria	 Actinobacteria	 Gaiellales	 Gaiellaceae	 Gaiella	 Gaiella_occulta
Otu1207	0	4	3	0	Bacteria						
Otu1200	0	4	4	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp3	 Unclassified	 Unclassified	 Gp3	
Otu1201	0	7	1	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu1202	1	0	0	1	Bacteria	 Latescibacteria	 Unclassified	 Unclassified	 Unclassified	 Latescibacteria	
Otu1203	7	15	17	3	Bacteria	 Acidobacteria	 Acidobacteria_Gp17	 Unclassified	 Unclassified	 Gp17	
Otu2898	0	0	4	0	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales	 Solirubrobacteraceae	 Solirubrobacter	
Otu2899	0	0	0	0	Bacteria	 Actinobacteria	 Thermoleophilia	 Thermoleophilales	 Thermoleophilaceae	 Thermoleophilum	 Thermoleophilum_album
Otu2894	0	0	0	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Enhydrobacter	 Moraxella_osloensis
Otu2895	0	1	1	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu2896	1	0	1	1	Bacteria	 Chloroflexi					
Otu2897	0	2	3	0	Bacteria						
Otu2890	0	0	0	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	
Otu2891	0	8	2	0	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales			
Otu2892	2	2	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto	
Otu2893	0	0	0	0	Bacteria	 Firmicutes	 Clostridia				
Otu8069	0	0	0	0	Bacteria						
Otu8068	0	1	1	0	Bacteria						
Otu8063	0	0	2	0	Bacteria						
Otu8062	0	0	0	0	Bacteria						
Otu8061	0	0	0	0	Bacteria	 Parcubacteria	 Unclassified	 Unclassified	 Unclassified	 Parcubacteria	
Otu8060	0	0	0	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prolixibacteraceae		
Otu8067	4	0	0	1	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
Otu8066	0	0	0	0	Bacteria	 Proteobacteria					
Otu8065	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu8064	0	0	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu8160	1	2	1	2	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu7694	0	0	0	0	Bacteria						
Otu7158	0	0	0	0	Bacteria						
Otu789	5	5	3	8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Phenylobacterium	
Otu788	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Alphaproteobacteria_incertae_sedis	 Unclassified	 Geminicoccus	 Geminicoccus_roseus
Otu783	0	7	7	0	Bacteria						
Otu782	3	0	1	14	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales			
Otu781	1	22	37	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Thermoactinomycetaceae	 Thermoactinomyces	 Thermoactinomyces_vulgaris
Otu780	3	0	2	2	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales	 Acidimicrobineae_incertae_sedis	 Aciditerrimonas	 Aciditerrimonas_ferrireducens
Otu787	0	10	22	0	Bacteria						
Otu786	1	6	10	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp2	 Unclassified	 Unclassified	 Gp2	
Otu785	0	10	11	0	Bacteria	 Chloroflexi	 Thermomicrobia	 Sphaerobacterales	 Sphaerobacteraceae	 Nitrolancea	 Nitrolancea_hollandica
Otu784	5	7	2	10	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales	 Acidimicrobineae_incertae_sedis	 Aciditerrimonas	 Aciditerrimonas_ferrireducens
Otu7916	0	0	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu7917	0	0	1	0	Bacteria						
Otu7914	0	0	2	0	Bacteria	 Firmicutes					
Otu3379	0	1	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu7912	0	0	0	0	Bacteria						
Otu7913	0	1	1	0	Bacteria						
Otu7910	0	0	0	0	Bacteria						
Otu7911	0	0	0	0	Bacteria						
Otu7918	0	0	1	0	Bacteria						
Otu7919	0	0	0	0	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	 Chthoniobacter_flavus
Otu3075	2	1	3	3	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Sandaracinaceae	 Sandaracinus	 Sandaracinus_amylolyticus
Otu3074	2	0	0	4	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu3077	1	1	0	2	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Unclassified	 Chryseolinea	 Chryseolinea_serpens
Otu3076	0	1	0	2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Sinobacteraceae		
Otu3071	1	0	0	1	Bacteria	 Acidobacteria	 Acidobacteria_Gp11	 Unclassified	 Unclassified	 Gp11	
Otu3070	0	1	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Thermoactinomycetaceae		
Otu3073	0	0	0	0	Bacteria						
Otu3072	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu3079	0	0	0	0	Bacteria						
Otu3078	0	0	0	0	Bacteria						
Otu3371	0	0	0	1	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Ktedonobacteraceae	 Ktedonobacter	 Ktedonobacter_racemifer
